Office Prime Rents (€/m²/year),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Q3 2019
,Central London,955,1134,1432,1193,895,1074,1193,1193,1301,1402,1611,1521,1372,1372,1342
,Dublin,538,646,660,608,394,359,300,325,377,484,592,630,670,670,670
,Berlin,246,246,264,264,242,258,264,264,264,276,300,342,396,432,456
,Madrid,330,372,480,492,384,336,324,288,288,318,336,348,372,420,435
,,,,,,,,,,,,,,,,
Office vacancy rate,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Q3 2019
,Central London,8.50%,6.20%,4.90%,7.20%,10.40%,7.50%,6.90%,6.60%,6.50%,5.10%,4.30%,5.80%,6.20%,5.00%,5.50%
,Dublin,14.60%,12.60%,12.20%,16.10%,22.20%,23.20%,21.30%,20.10%,18.20%,13.20%,10.20%,8.60%,8.10%,6.40%,5.30%
,Berlin,8.30%,8.30%,8.20%,7.70%,7.60%,7.10%,6.60%,5.60%,5.40%,4.70%,4.20%,2.80%,2.00%,1.70%,1.60%
,Madrid,9.20%,7.40%,5.80%,7.10%,10.10%,10.30%,10.70%,12.10%,12.10%,12.80%,12.50%,11.80%,10.20%,9.60%,9.10%
