Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Germany (until 1990 former territory of the FRG),"2,116,480","2,179,850","2,209,290","2,220,080","2,270,620","2,300,860","2,393,250","2,513,230","2,561,740","2,460,280","2,580,060","2,703,120","2,758,260","2,826,240","2,938,590","3,048,860","3,159,750","3,277,340"
Berlin,"112,126.31","113,762.70","114,240.57","113,935.02","115,091.96","117,470.88","121,832.34","127,455.75","132,966.96","132,295.90","137,550.16","143,835.47","146,648.26","150,803","158,524","166,042","173,394",:
Hamburg,"106,581.31","111,676.73","112,871.28","113,070.28","115,899.64","119,158.69","121,520.13","125,632.79","128,984.36","124,590.39","128,021.21","130,662.59","134,103.49","139,020.57","143,126","150,268","154,308",:
München,"114,697.14","120,592.23","122,820.90","120,653.78","124,948.60","127,281.45","131,328.40","139,685.35","137,159.77","134,572.79","137,890.02","147,829.19","153,057.13","157,613.44","163,953","172,481","178,945",:
Köln,"64,544.11","66,762.91","67,186.21","67,512.43","68,948.83","68,469.95","71,547.67","75,644.18","73,610.28","72,736.97","74,993.36","77,447.37","79,359.19","81,188.47","85,791","92,079","94,967",:
Frankfurt am Main,"105,190.94","109,201.59","108,796.12","111,696.76","112,339.75","113,237.37","117,347.72","121,570.79","122,907.91","117,361.85","120,541.93","124,843.82","125,836.47","128,903.10","134,453","137,834","141,685",:
Stuttgart,"93,407.36","99,806.67","100,083.46","102,000.27","101,174.66","99,275.72","107,012.77","114,331.86","112,111.10","101,989.97","114,054.18","120,321.62","122,927.65","126,012.62","131,619","141,927","145,103",:
Leipzig,"18,489.27","19,070.03","19,703.82","19,997.68","20,393.82","20,438.93","21,833.34","22,839.62","23,460.60","23,167.06","24,132.44","25,734.58","26,752.92","27,748.26","29,323","30,234","31,651",:
Dresden,"25,651.39","26,851.95","28,068.91","29,023.86","29,999.60","29,831.57","30,786.66","31,988.06","32,069.33","31,045.06","32,163.75","33,360.27","33,842.47","35,078.70","36,750","39,257","40,529",:
Düsseldorf,"59,002.61","63,141.49","63,155.16","63,664.34","65,782.41","66,634.70","68,330.35","73,951.71","76,592.85","72,779.43","74,029.09","75,467.49","76,157.09","78,284.61","80,723","83,352","85,628",:
Bremen,"32,509.38","33,536.52","34,162.90","34,591.99","35,452.44","35,567.03","37,413.61","39,261.94","39,782.60","36,654.74","38,914.17","40,598.91","42,487.86","43,470.25","45,058","46,433","47,894",:
Hannover,"36,956.68","37,324.96","37,759.26","38,215.49","38,142.53","40,707.19","42,797.73","43,401.47","44,745.04","43,143.24","44,803.55","47,300.47","47,999.56","47,893.66","49,425","50,599","53,571",:
Nürnberg,"38,893.58","38,574.38","40,242.64","39,871.18","42,006.96","41,527.97","43,116.06","45,293.24","46,617.33","45,701.96","47,422.68","50,035.59","51,989.75","52,953.55","55,088","57,586","59,849",:
Bielefeld,"8,854.37","9,249.50","9,095.08","9,130.54","9,234.92","9,504.83","9,631.13","10,372.61","10,480.84","10,251.08","10,448.33","11,082.05","11,340.47","11,704.99","12,174","12,447","12,879",:
Halle an der Saale,"9,381.52","9,491.02","9,759.11","9,889.05","10,243.87","10,193.15","10,554.28","10,603.90","10,640.90","10,468.36","11,204.44","11,400.74","11,641.10","11,708.11","11,856","12,460","12,906",:
Magdeburg,"10,137.70","10,469.71","10,964.49","10,951.10","11,081.08","11,218.85","11,616.28","12,276.14","12,856.09","12,288.35","12,753.41","13,100.42","13,603.55","13,810.41","14,328","14,448","14,866",:
Wiesbaden,"15,193.92","15,618.53","15,701.86","16,543.59","16,810.93","16,878.62","17,281.48","18,098.54","18,217.36","17,678.54","18,127.37","18,584.62","19,021.88","19,532.93","20,454","20,773","21,621",:
