"GDP and main components (output, expenditure and income) [nama_10_gdp]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,10.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,"CLV_I15 - Chain linked volumes, index 2015=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA_ITEM,Gross domestic product at market prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO/TIME,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DE - Germany (until 1990 former territory of the FRG),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,73.1,74.5,73.8,75.6,76.7,77.4,78.8,80.3,81.9,84.2,85.7,85.5,84.9,85.9,86.5,89.8,92.5,93.4,88.1,91.7,95.3,95.7,96.2,98.3,100.0,102.2,104.8,106.4
IE - Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34.8,37.4,41.5,45.1,49.8,54.5,57.4,60.8,62.7,66.9,70.7,74.3,78.2,74.7,70.9,72.2,72.5,72.6,73.6,79.9,100.0,103.7,112.1,121.3
ES - Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,66.5,68.2,70.8,73.9,77.2,81.2,84.4,86.7,89.3,92.1,95.5,99.4,103.0,103.9,100.0,100.1,99.3,96.4,95.0,96.3,100.0,103.0,106.0,108.5
UK - United Kingdom,40.3,41.5,42.5,44.3,46.0,45.0,44.7,45.6,47.5,48.6,50.6,52.2,55.0,58.2,59.7,60.1,59.5,59.7,61.2,63.6,65.1,66.7,69.2,71.8,74.2,76.8,79.1,80.9,83.6,85.6,88.3,90.7,92.9,92.7,88.7,90.5,91.9,93.2,95.2,97.7,100.0,101.9,103.8,105.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,"CLV_I15 - Chain linked volumes, index 2015=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA_ITEM,"Value added, gross",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
