"Employment by sex, age and metropolitan regions [met_lfe3emp]",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Last update,11.10.19,,,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AGE,From 15 to 64 years,,,,,,,,,,,,,,,,,,,
SEX,Total,,,,,,,,,,,,,,,,,,,
UNIT,Thousand persons,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
METROREG/TIME,1999 - 1999,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017,2018 - 2018
Germany (until 1990 former territory of the FRG),"35,742.4","35,976.7","36,144.8","35,868.8","35,523.0","35,022.5","35,844.7","36,633.0","37,397.2","37,902.3","37,807.8","37,337.1","38,045.4","38,320.6","38,640.0","38,907.7","39,175.9","40,165.1","40,481.6","40,635.7"
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,"2,277.6","2,323.4","2,352.0",:,:,"2,529.9","2,574.8","2,627.9"
Hamburg,"1,412.3","1,425.8","1,448.7","1,425.0","1,422.6","1,397.7","1,435.2","1,485.2","1,517.2","1,544.1","1,562.9","1,518.9","1,539.8","1,559.5","1,574.8",:,:,"1,638.0","1,673.6","1,675.5"
München,"1,241.5","1,255.3","1,284.7","1,273.0","1,252.4","1,248.4","1,262.7","1,296.8","1,321.1","1,343.5","1,350.7","1,345.4","1,380.4","1,415.1","1,455.5",:,:,"1,525.0","1,544.5","1,535.9"
Köln,934.7,942.8,942.1,935.5,921.1,899.8,940.8,956.5,986.6,998.7,"1,006.5",986.6,883.2,892.0,896.0,:,:,981.0,979.5,984.7
Frankfurt am Main,"1,138.5","1,157.0","1,187.9","1,172.9","1,158.1","1,129.8","1,149.6","1,169.6","1,179.2","1,202.1","1,208.8","1,195.5","1,230.3","1,242.5","1,263.4",:,:,"1,322.3","1,344.2","1,370.0"
Stuttgart,"1,230.0","1,236.0","1,248.6","1,256.2","1,240.1","1,233.9","1,255.4","1,272.7","1,285.0","1,305.3","1,297.1","1,249.4","1,273.3","1,287.6","1,314.7",:,:,"1,420.3","1,432.4","1,453.4"
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,455.1,458.5,466.7,:,:,497.6,492.2,503.8
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,626.6,620.5,621.5,:,:,634.1,650.6,637.4
Düsseldorf,669.7,672.1,685.4,676.8,664.0,655.4,677.4,696.4,705.2,713.4,712.3,697.7,719.3,725.2,730.9,:,:,745.2,753.5,745.7
Bremen,528.2,535.7,538.0,533.9,535.5,518.2,524.3,539.3,558.6,563.4,563.3,967.7,576.4,577.1,579.1,:,:,602.0,615.1,619.0
Hannover,546.4,549.1,548.9,542.7,547.9,543.7,554.0,559.9,574.9,577.3,579.3,122.6,578.9,598.6,602.9,:,:,620.7,616.6,614.8
Nürnberg,574.8,598.3,602.4,586.6,578.1,572.1,580.8,601.2,606.5,625.9,632.8,633.7,641.8,649.4,641.6,:,:,661.8,673.2,670.0
Bielefeld,134.6,135.6,138.9,136.2,134.5,131.3,133.6,132.6,136.6,139.0,137.6,135.0,139.0,142.8,143.1,:,:,157.6,158.8,159.8
Halle an der Saale,:,:,:,:,:,:,:,:,191.3,192.0,192.2,189.5,192.8,190.2,190.7,:,:,198.9,191.7,184.4
Magdeburg,:,:,:,:,:,:,:,:,280.2,280.0,281.2,236.0,241.8,237.7,237.9,:,:,233.3,233.5,231.5
Wiesbaden,200.5,202.7,207.5,205.9,204.1,198.8,201.1,204.7,204.9,207.6,209.2,207.3,214.1,215.5,217.0,:,:,226.7,225.5,212.5
Göttingen,167.6,166.7,165.1,162.4,160.3,156.2,157.5,167.0,168.7,168.1,:,:,:,:,:,:,:,209.1,205.0,215.1
Darmstadt,189.6,193.2,197.8,196.4,194.5,190.0,193.9,198.1,200.1,203.3,204.2,202.5,207.8,209.7,212.4,:,:,213.9,220.4,213.1
Freiburg im Breisgau,255.4,259.0,263.1,273.1,276.1,270.8,280.3,285.6,297.2,297.9,303.8,302.4,305.8,313.0,314.9,:,:,344.2,343.7,338.1
Regensburg,193.4,193.7,199.9,200.0,201.9,201.9,209.4,211.3,214.7,217.4,216.7,215.3,221.6,225.4,231.3,:,:,252.3,246.7,241.1
Schwerin,220.6,224.0,216.8,212.7,210.8,203.6,214.6,220.0,219.8,224.6,224.2,220.0,219.3,212.5,210.7,:,:,156.7,144.8,139.3
Erfurt,243.5,245.2,240.9,236.3,227.7,230.7,228.1,234.2,239.7,247.1,245.8,246.3,250.9,247.7,249.6,:,:,254.6,250.2,249.9
Augsburg,284.2,288.9,294.3,293.3,288.4,286.9,287.9,291.6,299.2,304.5,303.0,305.0,306.7,310.0,316.4,:,:,345.3,361.9,355.6
Bonn,416.2,415.8,415.2,414.3,414.0,410.0,430.5,440.1,453.9,458.7,461.1,451.7,402.5,405.2,404.3,:,:,439.5,438.6,437.5
Karlsruhe,305.7,313.3,320.4,322.6,321.9,319.7,330.1,334.9,344.5,348.7,343.3,337.5,346.6,352.5,362.5,:,:,352.1,380.4,378.0
Mönchengladbach,107.3,107.6,107.9,106.4,104.1,102.7,105.2,107.8,109.8,110.5,109.9,108.1,111.5,111.7,112.2,:,:,118.6,123.1,120.6
Mainz,177.5,:,:,180.3,179.9,173.3,177.1,183.5,189.5,191.0,188.8,187.9,192.4,196.5,199.1,:,:,217.6,219.0,218.7
Ruhrgebiet,"2,097.7","2,099.1","2,113.0","2,089.9","2,058.0","2,018.4","2,064.2","2,104.6","2,136.9","2,168.8","2,155.6","2,111.0","2,158.4","2,165.0","2,168.8",:,:,"2,227.6","2,264.1","2,290.1"
Kiel,263.1,268.1,270.4,265.0,269.1,262.1,267.8,276.5,280.7,286.1,282.2,278.3,282.7,286.3,283.3,:,:,301.5,303.2,314.3
Saarbrücken,350.5,355.6,351.4,350.0,337.6,339.3,342.7,348.8,354.3,361.7,357.7,355.7,355.6,364.3,366.8,:,:,379.4,369.0,368.9
Koblenz,135.7,:,:,135.9,137.3,132.3,139.5,141.3,144.8,144.0,142.9,145.5,147.9,148.5,149.7,:,:,164.8,161.5,159.4
Rostock,269.9,275.5,263.1,256.9,252.8,242.9,254.7,263.4,265.6,274.5,275.9,273.8,275.4,270.7,270.1,:,:,193.0,193.7,191.6
Kaiserslautern,120.0,:,:,119.4,119.0,115.3,117.1,120.7,124.1,125.0,122.1,121.2,123.5,124.5,124.2,:,:,123.9,125.2,124.0
Iserlohn,200.6,200.8,202.7,199.9,196.0,191.8,195.3,198.2,201.2,204.9,195.5,192.4,199.9,199.4,198.2,:,:,194.1,195.2,192.9
Flensburg,112.8,114.3,113.6,110.9,112.9,110.1,113.0,116.0,118.0,119.3,117.2,115.7,117.4,118.5,117.8,:,:,145.3,139.4,144.1
Konstanz,111.2,111.7,113.0,116.3,117.3,115.9,120.0,121.8,126.5,125.6,126.9,125.9,127.2,129.3,129.3,:,:,142.5,149.4,149.4
Gießen,106.4,109.4,112.6,111.8,112.5,109.5,111.7,113.4,114.1,115.0,115.8,113.9,118.1,117.1,119.1,:,:,131.5,127.9,130.2
Bayreuth,116.3,116.4,115.3,114.8,113.1,109.8,110.3,115.1,116.4,117.4,115.3,113.8,119.6,121.3,121.7,:,:,137.1,136.2,124.7
Aschaffenburg,174.6,174.7,177.0,176.3,173.6,172.1,172.2,178.1,179.9,185.4,179.8,178.9,183.6,187.0,188.4,:,:,189.2,189.0,190.1
Neubrandenburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,118.2,125.7,117.0
Rosenheim,128.9,130.6,132.4,131.9,130.7,131.8,132.5,136.6,139.0,140.5,140.7,141.5,145.6,147.9,150.7,:,:,167.0,170.6,159.5
Offenburg,196.0,197.6,201.3,207.2,209.3,206.0,212.4,217.0,226.2,226.8,227.4,225.5,227.5,230.3,230.1,:,:,213.6,217.3,229.7
Görlitz,:,:,:,:,:,:,:,:,:,:,:,:,114.0,111.1,110.4,:,:,111.7,103.3,107.7
Schweinfurt,121.4,121.9,123.6,124.3,124.4,123.2,123.3,127.8,129.4,132.9,129.6,129.5,132.1,134.3,135.4,:,:,134.9,135.7,145.7
Wetzlar,110.9,113.5,117.7,116.1,116.8,113.8,116.9,118.8,120.2,122.0,120.5,118.1,122.5,121.5,122.6,:,:,122.9,122.1,121.8
Braunschweig-Salzgitter-Wolfsburg,433.0,432.9,430.0,426.6,425.9,419.2,422.2,442.8,444.9,451.6,458.1,447.8,463.2,466.3,464.7,:,:,475.8,475.9,476.7
Mannheim-Ludwigshafen,509.1,:,:,512.1,510.8,497.8,506.4,520.4,534.4,540.5,532.5,525.3,537.6,546.9,556.6,:,:,557.6,571.5,566.9
Münster,198.3,203.0,205.7,207.0,208.2,206.1,213.0,220.2,225.2,228.5,229.5,230.8,237.8,241.2,243.7,:,:,274.8,265.9,279.0
Aachen,:,:,:,:,:,:,:,:,:,:,:,:,233.1,234.6,234.4,:,:,262.0,256.0,248.3
Lübeck,170.5,171.1,172.0,168.4,171.9,166.1,169.8,174.1,176.4,179.3,177.0,175.8,179.8,183.2,181.6,:,:,182.2,188.5,187.9
Kassel,182.7,184.5,185.0,184.8,178.0,179.5,182.7,183.6,188.1,190.1,190.2,191.7,200.7,201.8,202.4,:,:,196.1,215.7,209.4
Osnabrück,230.1,234.4,234.8,232.9,231.8,228.7,237.3,238.5,246.8,247.7,246.3,246.6,252.9,254.2,260.0,:,:,257.2,253.6,259.4
