"Population on 1 January by broad age group, sex and metropolitan regions [met_pjanaggr3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,TOTAL - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEX,T - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROREG/TIME,1990 - 1990,1991 - 1991,1992 - 1992,1993 - 1993,1994 - 1994,1995 - 1995,1996 - 1996,1997 - 1997,1998 - 1998,1999 - 1999,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017,2018 - 2018
Berlin,:,:,:,:,:,:,:,:,:,:,"4,921,641","4,934,636","4,951,343","4,961,910","4,965,235","4,971,331","4,984,834","4,996,272","5,010,185","5,025,272","5,036,223","4,849,278","4,898,150","4,951,687","5,005,216","5,066,361","5,143,049","5,207,915","5,259,363"
Dublin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,923,782","1,930,498","1,951,325","1,985,667","2,018,898","2,047,672","2,069,386"
Madrid,"4,937,156","4,947,735","4,984,663","5,030,383","5,074,384","5,116,658","5,157,603","5,198,753","5,242,444","5,284,618","5,329,606","5,379,087","5,478,611","5,638,804","5,766,554","5,866,219","5,953,546","6,075,013","6,226,185","6,327,559","6,373,546","6,394,252","6,425,522","6,414,620","6,378,297","6,385,298","6,424,275","6,476,838","6,549,520"
London,:,:,:,:,:,:,:,:,:,:,:,:,"12,069,553","12,119,566","12,164,802","12,254,153","12,376,611","12,509,930","12,667,745","12,839,980","13,011,136","13,188,460","13,353,048","13,501,897","13,666,285","13,839,040","13,998,563","14,115,260","14,257,962"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,TOTAL - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEX,M - Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROREG/TIME,1990 - 1990,1991 - 1991,1992 - 1992,1993 - 1993,1994 - 1994,1995 - 1995,1996 - 1996,1997 - 1997,1998 - 1998,1999 - 1999,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017,2018 - 2018
